Index	Name	Description	File Name	Quantity
1	base		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-FRPLB-AA.FCStd	1
2	Body		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-FRPLC-AA.FCStd	1
3	panel		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-CHTOP-AA.FCStd	1
4	outer half		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical COTS/OCT-LDHNG-AA.FCStd	1
5	inner half		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical COTS/OCT-LDHNG-AA.FCStd	1
6	lid subassembly		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/OctoForge.FCStd	1
6.1	lid assembly		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/lid subassembly.FCStd	1
6.1.1	lid frame		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-LIDFR-AA.FCStd	2
6.1.2	base brick		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-LIDBR-AA.FCStd	12
6.1.3	base brick		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-LIDBR-BA.FCStd	4
7	foot		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical COTS/OCT-LFOOT-AA.FCStd	4
8	chamber		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/OctoForge.FCStd	1
8.1	chamber		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/chamber subassembly.FCStd	1
8.1.1	base		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-CHBAS-AA.FCStd	2
8.1.2	alt B		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-CHBRK-AA.FCStd	4
8.1.3	alt A		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-CHBRK-AA.FCStd	12
8.1.4	terminal 1		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/chamber subassembly.FCStd	1
8.1.4.1	terminal		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/power terminal subassembly.FCStd	1
8.1.4.1.1	bar		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-PTERM-AA.FCStd	2
8.1.4.1.2	nut		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-PTNUT-AA.FCStd	8
8.1.5	terminal 2		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/chamber subassembly.FCStd	1
8.1.5.1	terminal		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/power terminal subassembly.FCStd	1
8.1.5.1.1	bar		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-PTERM-AA.FCStd	2
8.1.5.1.2	nut		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-PTNUT-AA.FCStd	8
8.1.6	terminal 3		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/chamber subassembly.FCStd	1
